Date,Headlines
2022-06,"<ul> <li>The world economy is facing substantial inflationary pressures. Global inflation is projected to increase to <strong>6.7 per cent</strong> in 2022, twice the average of 2.9 per cent recorded during 2010–2020.</li> <li>Among emerging market and developing economies, growth is also projected to fall from <strong>6.6 percent</strong> in 2021 to <strong>3.4 percent</strong> in 2022—well below the annual average of 4.8 percent over 2011-2019.</li> <li>Economic forecasters continue to trim growth estimates. In June, the World Bank cut its global GDP growth projection for 2022 to <strong>2.9%</strong> from 4.1% projected in January.</li> <li>The OECD composite leading indicators likewise point to general economic deceleration in the coming months.</li> </ul>"
2022-01,"<ol> <li>The Omicron variant of COVID-19 continued to spread rapidly across the world, causing disruptions to travel, trade, and business activity. The U.S. reported record-high daily cases and hospitalizations, while some countries imposed new lockdowns and restrictions.</li> <li>Russia increased its military presence near Ukraine’s border, raising fears of a possible invasion or conflict. The U.S. and its allies warned Russia of severe consequences if it attacked Ukraine, while also seeking diplomatic solutions. Oil prices surged as investors worried about potential supply disruptions.</li> </ol>"
2020-09,"<ol> <li>The S&P 500 finished September down 4.8% for its worst month since March 2020, when the pandemic caused a major market sell-off. The index also closed 5% below its record high for the first time since June.</li> <li>The Dow Jones Industrial Average dropped 500 points on September’s final day, ending the month with a loss of 2.3%. The Nasdaq Composite fell 5.2% for the month as tech stocks underperformed.</li> <li>Several companies announced their initial public offerings (IPOs) in September, including Snowflake, Unity Software, Palantir Technologies and Asana. Snowflake’s IPO was the largest software debut ever, raising $3.4 billion and more than doubling on its first day of trading.</li> <li>The Federal Reserve announced that it would keep interest rates near zero until at least 2023 to support the economic recovery from the pandemic. The Fed also signaled that it would tolerate higher inflation as a trade-off for lower unemployment.</li> <li>President Donald Trump and former Vice President Joe Biden faced off in their first presidential debate on September 29, which was widely seen as chaotic and unproductive. The debate did not have a clear impact on the stock market, but it raised concerns about the potential for a contested election outcome.</li> </ol>"
2020-02,"<ul> <li>The World Health Organization declared COVID-19 an official pandemic on March 11, 2020. The Dow Jones’ fall of nearly 3,000 points on March 16, 2020, was the largest single-day drop in U.S. stock market history.</li> <li>The S&P 500 entered a bear market on March 12, 2020, ending its longest bull run ever. It dropped more than 20% from its peak on February 19, 2020.</li> <li>Oil prices plunged to their lowest level since 2016 after Saudi Arabia and Russia failed to agree on production cuts amid falling demand due to the coronavirus outbreak. On February 20, 2020, Brent crude oil futures fell below $50 per barrel for the first time since December 2018.</li> </ul>"
2019-11,"<ul> <li>The U.S. and China announced a partial trade deal that would roll back some tariffs and boost Chinese purchases of U.S. agricultural goods.</li> <li>The U.S. economy added 128,000 jobs in October, beating expectations of 89,000 and signaling resilience amid a slowing global growth and trade tensions.</li> <li>The Federal Reserve cut interest rates for the third time this year by 25 basis points to a range of 1.5% to 1.75%, citing muted inflation pressures and uncertainties around trade and global growth.</li> <li>Neil Woodford’s investment firm blocked redemptions from his flagship £3.7bn fund, sparking a crisis in the UK’s fund management industry and raising questions about liquidity and regulation.</li> <li>Saudi Aramco announced its long-awaited initial public offering on the Riyadh stock exchange, aiming to raise up to $25.6bn and valuing the state-owned oil giant at $1.7tn.</li> </ul>"
2019-04,"<ul> <li>Global economic activity slowed notably in the second half of last year.</li> <li>The US dollar retained its dominant currency status, being on one side of 88% of all trades.</li> <li>Trading in FX markets reached $6.6 trillion per day in April 2019, up from $5.1 trillion three years earlier.</li> <li>The Federal Reserve raised interest rates to combat inflation amid turmoil in the banking system.</li> <li>Banks are turning to the Federal Reserve for loans to get them through the squeeze.</li> <li>Republicans and Democrats disagree over how recent bank closures should impact the debt limit stalemate.</li> <li>Proposals for more scrutiny of the financial sector are meeting resistance from industry and Congress.</li> </ul>"
2018-10,"<ol> <li>The S&P 500 lost $1.91 trillion in value during the month, while the Nasdaq Composite shed $1.32 trillion and Dow Jones Industrial Average dropped about $500 billion.</li> <li>The stock market had one of its worst months since the financial crisis, with the S&P 500 falling by -7.2% and the Nasdaq Composite plunging by -9.2%.</li> <li>The volatility index (VIX) spiked to its highest level since February, reaching 28.84 on October 29.</li> <li>The technology sector was hit hard by disappointing earnings reports from Amazon, Netflix, Google and Facebook, as well as concerns over trade tensions with China and regulatory scrutiny.</li> <li>The semiconductor industry suffered a double-digit decline, as demand for chips slowed down amid a global slowdown and oversupply issues.</li> </ol>"
2015-12,"<ul> <li>The Federal Reserve raised its benchmark interest rate for the first time in nearly a decade, signaling confidence in the U.S. economy and ending an era of near-zero rates.</li> <li>China’s stock market plunged more than 20% from its peak in June, triggering circuit breakers and spooking global investors about the health of the world’s second-largest economy.</li> <li>Oil prices continued to slide to their lowest levels since 2009, amid oversupply and weak demand. The collapse in oil prices impacted all other assets, especially energy stocks and emerging markets.</li> <li>Greece reached a deal with its creditors to avoid a default and stay in the eurozone, after months of uncertainty and turmoil that rattled European markets.</li> <li>The U.S. dollar strengthened against most major currencies, as diverging monetary policies boosted its appeal. The strong dollar weighed on U.S. corporate earnings and exports.</li> </ul>"
2015-11,"<ul> <li>The terrorist attacks in Paris on November 13 killed 130 people and wounded hundreds more1. The attacks sparked fear and uncertainty among investors and consumers, as well as solidarity and resilience among world leaders.</li> <li>The European Central Bank (ECB) disappointed markets on November 25 by announcing a smaller-than-expected stimulus package1. The ECB cut its deposit rate by 10 basis points to -0.3% and extended its bond-buying program by six months, but did not increase the monthly amount of purchases.</li> <li>China’s economy continued to show signs of slowing down, as its official manufacturing Purchasing Managers’ Index (PMI) fell to 49.6 in November, below the 50 level that separates expansion from contraction2. China’s weak growth raised concerns about its impact on global demand and commodity prices.</li> <li>The U.S. economy added 271,000 jobs in October, beating expectations and boosting the case for a Fed rate hike in December3. The unemployment rate fell to 5%, the lowest since April 2008, and wages rose by 2.5% year-over-year, the fastest pace since July 2009.</li> </ul>"
2011-07,"<ul>
<li>European stocks ended modestly higher on July 1, with Britain's FTSE 100 rising 0.7%, the DAX in Germany and France's CAC 40 adding 0.6%. However, the stock market crashed later that month, losing about 28% of its value from July 22 to August 9 due to concerns over the U.S. debt ceiling and the European debt crisis.</li>
<li>The European debt crisis, also known as the Eurozone crisis, began in late 2009 and lasted through much of the 2010s.</li>
<li>In 2011, the crisis reached a critical point, with several European countries facing the possibility of defaulting on their sovereign debt. The crisis was triggered by a combination of factors, including high levels of government debt, low economic growth, and the global financial crisis of 2008. It affected several countries in the European Union, including Greece, Ireland, Portugal, Spain, and Italy.</li>
<li>The crisis led to a number of measures being taken by the European Union and its member states to address the situation. These measures included the creation of the European Stability Mechanism, which provided financial assistance to countries in need, and the implementation of austerity measures in affected countries.</li>
<li>The crisis had a significant impact on the European economy and led to high levels of unemployment, particularly in countries like Greece and Spain. It also had political ramifications, with some countries questioning the viability of the European Union and the euro currency. While the crisis has largely receded in recent years, its effects are still being felt in some parts of Europe.</li>
</ul>"
2010-05,"<ul>
<li>On May 6, 2010, there was a stock market anomaly known as the <strong>2010 Flash Crash</strong>. The major market indexes dropped by over 9% (including a roughly 7% decline in a roughly 15-minute span at approximately 2:45 p.m.) before a partial rebound. Temporarily, $1 trillion in market value disappeared.</li>
<li>On May 7, 2010, the US Labor Department reported that employers added only <strong>54,000 jobs</strong> in May, which was far below expectations.</li>
</ul>"
2008-08,"<ul> <li>On August 5, 2008, the U.S. Treasury announced a rescue plan for Fannie Mae and Freddie Mac, two government-sponsored enterprises that were on the verge of collapse due to losses from subprime mortgages.</li> <li>On August 7, 2008, BNP Paribas, a French bank, suspended three of its funds that invested in U.S. subprime securities, citing a lack of liquidity in the market.</li> <li>On August 9, 2008, the Federal Reserve announced that it would extend its emergency lending program to other financial institutions besides banks, in an effort to ease credit conditions.</li> <li>On August 17, 2008, Bank of America agreed to buy Countrywide Financial Corp., the largest U.S. mortgage lender that was facing bankruptcy due to defaults and foreclosures.</li> </ul>"
2008-07,"<ul> <li>July 11: IndyMac Bank fails and is seized by federal regulators, becoming one of the largest bank failures in U.S. history.</li> <li>July 13: The Treasury Department and the Federal Reserve announce a plan to rescue Fannie Mae and Freddie Mac, two government-sponsored enterprises that own or guarantee nearly half of U.S. mortgages.</li> <li>July 15: The Dow Jones Industrial Average falls below 11,000 for the first time since 2006, as investors worry about the financial sector and consumer spending.</li> </ul>"
